lat, lon, Styrofoam_Box, Styrofoam_Piece, PET_Bottle, Glass, Metal, Plastic_ETC, Rope
35.168725, 128.035245, 0, 8, 1, 0, 1, 7, 0
35.168698, 128.035216, 0, 9, 3, 2, 2, 6, 0
35.168668, 128.035184, 0, 11, 7, 0, 0, 6, 0
35.168631, 128.035143, 0, 5, 5, 0, 0, 6, 0
35.168593, 128.035103, 0, 8, 6, 0, 0, 5, 0
35.168556, 128.035065, 0, 10, 8, 0, 1, 8, 0
35.168523, 128.035030, 0, 13, 10, 0, 0, 6, 0
35.168493, 128.035000, 0, 9, 4, 0, 1, 5, 0
35.168459, 128.034966, 0, 12, 4, 0, 0, 8, 0
35.168425, 128.034930, 0, 9, 10, 1, 1, 2, 0
35.168391, 128.034894, 1, 10, 3, 0, 1, 5, 0
35.168355, 128.034858, 0, 8, 7, 0, 1, 5, 0
35.168320, 128.034821, 0, 4, 6, 0, 1, 2, 0
35.168287, 128.034785, 0, 5, 5, 0, 1, 9, 0
35.168251, 128.034747, 0, 4, 5, 0, 2, 9, 0
35.168208, 128.034703, 0, 5, 1, 0, 1, 2, 0
35.168183, 128.034677, 0, 3, 3, 0, 0, 0, 0
35.168162, 128.034662, 0, 3, 4, 0, 0, 1, 0
35.168117, 128.034652, 0, 7, 7, 0, 0, 5, 0
35.168092, 128.034638, 0, 9, 9, 0, 0, 2, 0
35.168048, 128.034608, 0, 10, 6, 1, 0, 10, 0
35.168009, 128.034587, 0, 7, 3, 0, 0, 11, 0
35.167967, 128.034602, 0, 21, 6, 0, 1, 13, 0
35.167965, 128.034546, 0, 12, 1, 0, 0, 3, 0
35.167943, 128.034520, 0, 17, 3, 0, 0, 5, 0
35.167889, 128.034480, 1, 12, 4, 0, 0, 5, 0
35.167868, 128.034490, 1, 10, 5, 0, 0, 4, 0
35.167841, 128.034510, 0, 12, 3, 0, 1, 7, 0
35.167806, 128.034500, 0, 14, 5, 0, 1, 8, 0
35.167767, 128.034484, 0, 9, 5, 1, 1, 13, 0
35.167742, 128.034470, 0, 8, 4, 1, 2, 8, 0
35.167699, 128.034416, 0, 10, 4, 0, 2, 4, 0
35.167653, 128.034351, 0, 4, 7, 0, 0, 2, 0
35.167616, 128.034302, 0, 4, 4, 1, 1, 4, 0
35.167598, 128.034279, 0, 5, 4, 0, 0, 2, 0
35.167586, 128.034294, 0, 8, 3, 1, 0, 4, 0
35.167550, 128.034313, 0, 11, 8, 0, 0, 9, 0
35.167530, 128.034305, 0, 11, 9, 0, 1, 8, 0
35.167514, 128.034291, 0, 10, 6, 0, 2, 4, 0
35.167498, 128.034275, 0, 14, 4, 0, 2, 7, 0
35.167486, 128.034262, 0, 12, 6, 0, 2, 5, 0
35.167476, 128.034250, 0, 11, 4, 0, 2, 2, 0
35.167465, 128.034239, 0, 10, 4, 0, 1, 4, 0
35.167443, 128.034215, 0, 11, 6, 0, 0, 5, 0
35.167409, 128.034174, 0, 6, 3, 0, 0, 4, 0
35.167377, 128.034137, 0, 9, 5, 0, 1, 7, 0
35.167372, 128.034103, 0, 11, 5, 0, 1, 11, 0
35.167353, 128.034039, 0, 9, 3, 0, 0, 3, 0
35.167331, 128.033996, 1, 10, 7, 0, 0, 5, 0
35.167298, 128.033945, 2, 8, 4, 0, 0, 4, 0
35.167259, 128.033887, 0, 9, 4, 0, 0, 4, 0
35.167214, 128.033821, 0, 11, 4, 0, 0, 3, 0
35.167178, 128.033767, 0, 5, 4, 0, 0, 4, 0
35.167146, 128.033722, 0, 2, 6, 0, 0, 2, 0
35.167112, 128.033676, 0, 0, 2, 0, 0, 1, 0
35.167093, 128.033651, 0, 1, 2, 0, 0, 0, 0
35.167043, 128.033613, 0, 6, 2, 0, 0, 2, 0
35.167007, 128.033581, 2, 7, 5, 0, 0, 1, 1
35.166941, 128.033523, 1, 4, 2, 0, 2, 2, 1
35.166886, 128.033473, 0, 5, 4, 0, 1, 2, 0
35.166847, 128.033436, 0, 9, 4, 0, 0, 2, 0
35.166803, 128.033394, 0, 7, 0, 0, 1, 2, 0
35.166751, 128.033341, 0, 7, 3, 0, 0, 6, 1
35.166697, 128.033283, 0, 13, 4, 1, 0, 8, 0
35.166673, 128.033234, 0, 8, 8, 0, 0, 6, 0
35.166649, 128.033194, 1, 12, 6, 0, 0, 4, 0
35.166605, 128.033174, 1, 9, 5, 0, 0, 8, 0
35.166562, 128.033143, 1, 9, 2, 0, 0, 1, 0
35.166529, 128.033108, 0, 7, 2, 0, 0, 3, 0
